"","G"
"104",61.0362139527781
"105",56.2963741304832
"106",54.2080800886322
"107",78.9856961861157
"108",54.6367353847604
"109",54.8668644237518
"110",58.6223856237042
"111",69.4953898394048
"112",60.2496512250049
"113",57.1005741286835
"114",95.3756991049636
"115",59.1906868055402
"116",58.3410440983915
"117",58.1222656580985
"118",77.9367493399824
"119",83.7059957467003
"120",75.5719153962536
"121",59.4272517375883
"122",69.9848863644706
"123",58.4155019693552
"124",102.47367594912
"125",46.6018223725962
"126",120.930275756272
"127",84.4797579630204
"128",60.2155583914107
"129",57.0434839606466
"130",111.856638115596
"131",62.3573919649054
"132",50.331108323275
"133",56.9237598150033
"134",62.9344519834261
"135",46.2589774875579
"136",64.7646151041351
"137",75.060055796429
"138",103.206466223355
"139",52.4704671785407
"140",56.4262195579547
"141",39.7386556294748
"142",62.217245543292
"143",72.8847608556118
"144",65.5638699822713
"145",69.6138914555672
"146",55.4970646766781
"147",49.2093103643673
"148",59.5946746405489
"149",53.788722531834
"150",54.3012408712963
"151",59.3868652793488
"152",79.197631264065
"153",62.1328996815734
"154",61.753615942672
"155",78.2091325302083
"156",57.2408563021435
"157",53.9931873310133
"158",56.606015110635
"159",56.340884991925
"160",71.1882470276691
"161",55.9702759418766
"162",63.7524978773853
"163",61.9552254714457
"164",56.7776824798006
"165",59.3755512777501
"166",45.6231908621403
"167",72.1129435853182
"168",62.9499466378386
"169",55.2016906287426
"170",57.7137905648463
"171",55.9309742140604
"172",58.0468052020862
"173",56.8198392501849
"174",55.7219776661077
"175",66.0374109952562
"176",55.3354231529786
"177",51.0846548433332
"178",52.0686464823151
"179",112.306410958059
"180",57.3553324513615
"181",53.6366359715062
"182",57.3144297823484
"183",61.3447235455762
"184",77.7043309985577
"185",61.2300711615695
"186",54.864096114166
"187",58.54559586019
"188",55.3657975871704
"189",110.188875003627
"190",45.8276782130529
"191",82.2624517588931
"192",50.8133983475827
"193",54.0713462194152
"194",55.0233439667241
"195",64.6090730199646
"196",54.9140639230384
"197",60.0737522368319
"198",66.6095366356809
"199",57.3733430078081
"200",54.9319231679819
"201",99.7427224498228
"202",47.2826625055231
"203",58.4195818467586
"204",43.1192510393402
"205",54.3053140841628
"206",45.3466796849221
"207",58.7343409228971
"208",51.9588243151576
"209",57.926002040493
"210",61.2968646439953
"211",58.9399105817583
"212",50.4411779917945
"213",73.308527248307
"214",53.25227797117
"215",57.6923843494103
"216",49.328030923973
"217",49.1395126449063
"218",55.0867791429435
"219",57.5489862781667
"220",109.686212856271
"221",60.3387818380525
"222",114.893220297804
"223",80.0070240308936
"224",59.5017059047929
"225",56.2490848824682
"226",60.7358771393017
"227",57.8349532874769
"228",59.7659645057442
"229",87.5642141158834
"230",60.5931908594272
